Source,Target
MarkLeeSoloPls,ChinaConSydney
t_toghrul,
Stanwwk,nathanlawkc
macy8134,
NQnXyRyi9ZIp5Gs,guojimanping
China24Official,
LakeyBe2,
gingerkitkat2,yicaichina
ngonggau,BuminSian
MarkLeeSoloPls,Mango_Press_
Sila11375598,yicaichina
DauDauDongWan,badiucao
whynosignal,shou30jin
HCTaiwan,nathanlawkc
MarkLeeSoloPls,JarilarZhao
zpookz,yicaichina
MyEyez15,yicaichina
xxzhans,yicaichina
MarkLeeSoloPls,spyropic
StealthMother,
BeijingEye,
lomicchi,
adamshau,SpokespersonCHN
xingbrows,spyropic
CeciliaNTDNews,johannylander
saenai_kareshi,SpokespersonCHN
nlhup,nathanlawkc
pivoineblanche5,yicaichina
FredWu76239734,thinking_panda
Marco63423461,nathanlawkc
FredWu76239734,BuminSian
tineXZ1005,yicaichina
SanMinA26071620,nathanlawkc
JenPueng,yicaichina
EXOL23515851,
waqarkauravi,ChinaConSydney
WenlanLiu,
99_secretgarden,nathanlawkc
alwayszhanzhan,yicaichina
bye___________w,SpokespersonCHN
realKong13,
mariocavolo,
TribianneJoey,
whynosignal,BuminSian
lomicchi,taro_taylor
mariocavolo,shou30jin
CCTV_Plus,
Lily12472037,yicaichina
U5yxKOpXB6xr0M2,SpokespersonCHN
marxistjojoist,Jingjing_Li
seelayxiao,yicaichina
LauIvan5,
daikichilahm,yicaichina
imshinbei,nathanlawkc
moonzhan1005,yicaichina
XZ_Arg,yicaichina
zhangzhentian1,SpokespersonCHN
Anya777owo,yicaichina
TribianneJoey,
zhongguowenhua1,badiucao
fanofyttears,taro_taylor
fanofyttears,taro_taylor
BeijingReview,
fendiiiman,spyropic
7Truths7Lies,yicaichina
vil_Delia,taro_taylor
98Cinzia,
alkayeah,Lin95Li
LauIvan5,niccco37702825
TribianneJoey,
ChanCha62478037,Wendy54311691
570mph,
raintsuru,yicaichina
raintsuru,yicaichina
weiweitang,SpokespersonCHN
LauIvan5,lheais
ChanCha62478037,BernardToHK
ChanCha62478037,BernardToHK
LauIvan5,spyropic
SEVKET28654357,Alfred_Uyghur
thaliax13,mariocavolo
MarieUntamed,yicaichina
workhoseinqr,CGTNOfficial
meng21118358,SpokespersonCHN
ChanCha62478037,Langley02_
TmrOur,nathanlawkc
guojimanping,
XZrandomstuff,yicaichina
Toni39210475,nathanlawkc
SephoraPsdol,yicaichina
SpaceLong_,
x_calibra,xinjiangchannel
ann48430648,xiaoyuonion
ChanCha62478037,BruceWayne852
vzroPp,spyropic
queenoffthedark,taro_taylor
BusyAhchan,BuminSian
sara_bookie,yicaichina
LetsBlameChina,taro_taylor
Peterpanxfx105,yicaichina
SammyLau9,nathanlawkc
UmarFar24274153,Jingjing_Li
shookwencg,CarlZha
zunday917,yicaichina
Gaga_DelRey_,badiucao
Jelitaananda9,yicaichina
MrMorningStar10,China2ASEAN
sarahiko12,yicaichina
syayuiki,taro_taylor
Ethereal_Cupid,yicaichina
linmayhui1,niccco37702825
_hiddenagenda,taro_taylor
BudiMedan5,Alfred_Uyghur
Di_FX2,taro_taylor
j0FDGhGMkEQ6cF9,
_mookkkk_,yicaichina
4kQn7QtOKDSl0RV,SpokespersonCHN
tinybutgreatP,jooeysiiu
jimlu1205,
KonohaEmi,xinjiangchannel
Forrest538,ChinaDaily
DavidChen9457,
FCCP1984,BruceWayne852
JaneNgu06471425,yicaichina
alf_yakusa,yicaichina
9048kim,yicaichina
AprilPinK2787,yicaichina
roiiun,yicaichina
jmaonne,yicaichina
currentcurrant9,jooeysiiu
bbiancapp_,spyropic
XzNp1005,yicaichina
oaklive,yicaichina
aorpp,yicaichina
bbiancapp_,j0FDGhGMkEQ6cF9
CD8866,TorontoFarmEN
aeckevin,BruceWayne852
yuanmoren1,SpokespersonCHN
xxxiilll__7,yicaichina
tatarntarn,yicaichina
BeMySana,yicaichina
PreciousEbube11,yicaichina
stone3124,nathanlawkc
tangsanishere,yicaichina
jennylives85,yicaichina
macy8134,
some1isscreamin,yicaichina
OI_journal,
queenoffthedark,JessicaZ1018
j0FDGhGMkEQ6cF9,
Maggie59852893,
longliveyujin,
queenoffthedark,xinjiangchannel
j0FDGhGMkEQ6cF9,
LianneU127DV,nathanlawkc
riddy4palestine,taro_taylor
Anon_HKer,BruceWayne852
connyftw,yicaichina
silencereaction,yicaichina
JShijiu,
go_H_Lucine,
BUMBLEBEE0708,yicaichina
23Aunyamanee,XjReport
ElaineShen75,Frontlinestory
XFX_PH,yicaichina
D0ubl3AA,yicaichina
yunqi1111111,TorontoFarmEN
dorentus,taro_taylor
gusucult,yicaichina
MRW27210497,BruceWayne852
wendy_leung,SpokespersonCHN
WingHongMak,SpokespersonCHN
Forrest538,shou30jin
holapawpaw,
Adelinacchan,2bdoge
Jessica74173208,SpokespersonCHN
tomate_sone,TW_nextmedia
aeryzhan_daytoy,yicaichina
niba42078857,
Hellothisistang,SpokespersonCHN
gagagaz112,aizhongchina
DaoxingZ,BuminSian
DaoxingZ,LXMXinjiang4
lizzchen4,taro_taylor
TsangWah2000218,holden_chow
henzyking,taro_taylor
xiaowoniu571,TorontoFarmEN
XiaoWin_,yicaichina
Ernine2,yicaichina
CYY555,taro_taylor
RisingRedDrago1,taro_taylor
xiaowoniu571,TorontoFarmEN
FriedaLi3,
RisingRedDrago1,taro_taylor
Sheshe76223202,jooeysiiu
ptong2261,ChinaConSydney
Sheshe76223202,nathanlawkc
mcdee_andy,taro_taylor
dademes87,
S9GmK1btuCiaWdU,LXMXinjiang4
Froshs_Vater,xinjiangchannel
DaoxingZ,CarlZha
Jam13826408,BruceWayne852
mamaxin2,CarlZha
hk_pmv,xinjiangchannel
ExMohajirin,AnneDestiny1
linglanxianren,Jingjing_Li
zhang_heqing,Jingjing_Li
np1243,aizhongchina
caren_zhang,
shan3lu,SpokespersonCHN
LydiaLi16261372,Jingjing_Li
Eleanor56070909,yicaichina
currentcurrant9,
caren_zhang,shou30jin
KelGzf,CarlZha
ChinaConSydney,ChinaConSydney
AnnBernalez,yicaichina
LydiaLi16261372,SpokespersonCHN
Buddhism979,CarlZha
tomismmyy,taro_taylor
leslie23234,JessicaZ1018
NighatBatool6,yicaichina
IgSkVKA8K2ElqRF,TW_nextmedia
GalSmucker,nathanlawkc
ncyjanice,TW_nextmedia
ptong2261,CarlZha
xiaoljq,TW_nextmedia
carowithoutline,Jingjing_Li
Apeach928,yicaichina
CandyCho22,nathanlawkc
KellyZ08458497,
xiaozanxiaozan,yicaichina
CentreLeak,
sleeepisme1005,yicaichina
S9GmK1btuCiaWdU,Jingjing_Li
ronniechoichoi,BruceWayne852
KellyWo74828611,nathanlawkc
jich0ngkisser,yicaichina
currentcurrant9,
KellyZ08458497,
sawettapong,aizhongchina
aotian888,
__mvc__,aizhongchina
fool_zhou,SpokespersonCHN
Rebecca13140366,TorontoFarmCN
stimesix,nathanlawkc
g1oriaaa,nathanlawkc
FriedaLi3,
deep_kwan,highlandtop
deep_kwan,nathanlawkc
nidsui_ka,yicaichina
Lisache97801782,
Lilly_Madelane,yicaichina
2K6J0J1,yicaichina
Innotative94,Alfred_Uyghur
deep_kwan,HONGKONGISNOTC1
zhanLove1005,yicaichina
0WBPmUQUiNEiyEd,aBabyGirlQian
j0FDGhGMkEQ6cF9,
balenowatch,shou30jin
Darren75449712,TT4idCE7T8e2ncw
zzh541886,SpokespersonCHN
lizzchen4,BuminSian
lookkaw9,aizhongchina
daytoybunny1,yicaichina
MROdnWnqIN8Ay9C,taro_taylor
AnaLauraSoledad,CarlZha
DOTLO123,SpokespersonCHN
PVM_Hongkonger,BruceWayne852
TT4idCE7T8e2ncw,
Cheri05075373,nathanlawkc
RirikoOnishima,
anxiaodong777,TorontoFarmCN
eqooh1,nathanlawkc
WE85663516,CGTNOfficial
lomicchi,
Bananabonnini,yicaichina
SherlockYoungAr,SpokespersonCHN
deep_kwan,badiucao
zanzansunsun,yicaichina
DecayedB,SpokespersonCHN
deep_kwan,BruceWayne852
xmb0707,CarlZha
438qld,TorontoFarmEN
S9GmK1btuCiaWdU,BuminSian
PYK62528519,badiucao
deep_kwan,TorontoFarmEN
sssfawzy,Alfred_Uyghur
Angiebabyzhan,yicaichina
ploy28464487,yicaichina
xmb0707,thinking_panda
ItaliaMTC,xinjiangchannel
Vinstar20,
jurongwan,SpokespersonCHN
JSmithSkeptic,taro_taylor
Jannis44186536,yicaichina
Zoe_xz_,yicaichina
itzy_sel,yicaichina
susl3tche,taro_taylor
seanxiaowife,yicaichina
Rabbitpaw105,yicaichina
not_xiaozhan,yicaichina
Jianghehuhai1,TorontoFarmCN
Zhang_Akane0429,SpokespersonCHN
Lewisle98850086,Jingjing_Li
xiaowoniu571,TorontoFarmCN
Dear_Kida,
DannastanJG,yicaichina
gusufriend,yicaichina
blueshappire48,yicaichina
Shelly12464039,
Fei10948658,nathanlawkc
eggkoya,spyropic
eternalsunai,yicaichina
JVirinya,yicaichina
US23887084,yicaichina
LiYiChe06494662,SpokespersonCHN
xiejiani2,HollyM80678769
Raymond27103745,CGTNOfficial
CapitoC_Z,taro_taylor
nutchan17133363,yicaichina
RnugkwueOajG1BG,SpokespersonCHN
RisingRedDrago1,BuminSian
marswu33,OnceUpo26773053
Annunaki2017,TorontoFarmEN
cookieming99,yicaichina
Blanchefler,yicaichina
Hannah201907,SpokespersonCHN
xiejiani2,SpokespersonCHN
xiejiani2,Lin95Li
easonlee1,SpokespersonCHN
Lin95Li,
tomismmyy,xinjiangchannel
Raymond27103745,globaltimesnews
Langley02_,BruceWayne852
Amazing_CP,yicaichina
Amazing_CP,yicaichina
BuminSian,
Jianghehuhai1,TorontoFarmCN
hbtg1203,taro_taylor
mamaxin2,xinjiangchannel
raam_beart,Jingjing_Li
suibianq_,yicaichina
khurram786khan1,xinjiangchannel
Humphre12986645,taro_taylor
yellowyhk,
bansiantho,chinese4uyghurs
setay71,ChinaTeacher1
turonhouse,CGTNOfficial
minhaowu,SpokespersonCHN
Xiaocha71151304,yicaichina
gloriana1005,yicaichina
RnugkwueOajG1BG,Jingjing_Li
liuliwei0,Jingjing_Li
Pand86834407,xinjiangchannel
minnie_Tdr,yicaichina
wsgbhkg,nathanlawkc
WL806vvhnSllS47,2bdoge
pukupukuuykIII,TW_nextmedia
HelloKitty_1005,yicaichina
snow_ball_66,yicaichina
LEEYONGQlN,spyropic
e5Oi6yQdOZfHzyB,
Blakeisblake1,nathanlawkc
ptong2261,MscAmir1
JeffreyJMassie,xinjiangchannel
lizzchen4,xinjiangchannel
2bdoge,
liyutian4,SpokespersonCHN
liuliwei0,SpokespersonCHN
BetoniToni,nathanlawkc
kakakallima,chinese4uyghurs
cscbycl,xinjiangchannel
JeremyS98326804,
WanyipLeungCHN,xinjiangchannel
babylrocks1,nathanlawkc
Ozhan1005,yicaichina
DecayedB,
Marina49088883,yicaichina
wuwhtay,Jingjing_Li
pongpon78431186,dayana_dy
Peterpa45912009,yicaichina
Allisonzhao7,SpokespersonCHN
wIYZTYgnRBGtDlc,chinese4uyghurs
Chip77454309,TorontoFarmEN
stuckedbeanesss,nathanlawkc
Oops51335622,jooeysiiu
pierrewang2,xinjiangchannel
JNWaynee,nathanlawkc
mithu796311,CarlZha
HcErLWVWCA7MECy,SpokespersonCHN
rotlamun42,yicaichina
keonaseo,taro_taylor
Chip77454309,badiucao
